id	entrezid	symbol
974	1181	CLCN2
975	1182	CLCN3
976	1183	CLCN4
977	1184	CLCN5
978	1185	CLCN6
979	1186	CLCN7
980	1187	CLCNKA
981	1188	CLCNKB
982	1191	CLU
983	1192	CLIC1
984	1193	CLIC2
985	1195	CLK1
986	1196	CLK2
987	1197	CLK2P1
988	1198	CLK3
989	1200	TPP1
990	1201	CLN3
991	1203	CLN5
992	1204	CLNS1AP1
993	1207	CLNS1A
994	1208	CLPS
995	1209	CLPTM1
996	1211	CLTA
997	1212	CLTB
998	1213	CLTC
999	1215	CMA1
1000	1218	CMD1B
1001	1230	CCR1
1002	1232	CCR3
1003	1233	CCR4
1004	1234	CCR5
1005	1235	CCR6
1006	1236	CCR7
1007	1237	CCR8
1008	1238	ACKR2
1009	1240	CMKLR1
1010	1241	LTB4R
1011	1243	CMM
1012	1244	ABCC2
1013	1253	CMTX2
1014	1254	CMTX3
1015	1255	CNA1
1016	1257	CNC2
1017	1258	CNGB1
1018	1259	CNGA1
1019	1260	CNGA2
1020	1261	CNGA3
1021	1262	CNGA4
1022	1263	PLK3
1023	1264	CNN1
1024	1265	CNN2
1025	1266	CNN3
1026	1267	CNP
1027	1268	CNR1
1028	1269	CNR2
1029	1270	CNTF
1030	1271	CNTFR
1031	1272	CNTN1
1032	1275	COD2
1033	1277	COL1A1
1034	1278	COL1A2
1035	1279	COL1AR
1036	1280	COL2A1
1037	1281	COL3A1
1038	1282	COL4A1
1039	1283	CTD
1040	1284	COL4A2
1041	1285	COL4A3
1042	1286	COL4A4
1043	1287	COL4A5
1044	1288	COL4A6
1045	1289	COL5A1
1046	1290	COL5A2
1047	1291	COL6A1
1048	1292	COL6A2
1049	1293	COL6A3
1050	1294	COL7A1
1051	1295	COL8A1
1052	1296	COL8A2
1053	1297	COL9A1
1054	1298	COL9A2
1055	1299	COL9A3
1056	1300	COL10A1
1057	1301	COL11A1
1058	1302	COL11A2
1059	1303	COL12A1
1060	1305	COL13A1
1061	1306	COL15A1
1062	1307	COL16A1
1063	1308	COL17A1
1064	1310	COL19A1
1065	1311	COMP
1066	1312	COMT
1067	1314	COPA
1068	1315	COPB1
1069	1316	KLF6
1070	1317	SLC31A1
1071	1318	SLC31A2
1072	1319	CORD1
1073	1325	CORT
1074	1326	MAP3K8
1075	1327	COX4I1
1076	1329	COX5B
1077	1330	COX5BP1
1078	1331	COX5BP2
1079	1332	COX5BP3
1080	1333	COX5BP4
1081	1336	COX5BP7
1082	1337	COX6A1
1083	1338	COX6A1P1
1084	1339	COX6A2
1085	1340	COX6B1
1086	1342	COX6B1P2
1087	1343	COX6B1P3
1088	1345	COX6C
1089	1346	COX7A1
1090	1347	COX7A2
1091	1348	COX7A2P2
1092	1349	COX7B
1093	1350	COX7C
1094	1351	COX8A
1095	1352	COX10
1096	1353	COX11
1097	1355	COX15
1098	1356	CP
1099	1357	CPA1
1100	1358	CPA2
1101	1359	CPA3
1102	1360	CPB1
1103	1361	CPB2
1104	1362	CPD
1105	1363	CPE
1106	1364	CLDN4
1107	1365	CLDN3
1108	1366	CLDN7
1109	1368	CPM
1110	1369	CPN1
1111	1370	CPN2
1112	1371	CPOX
1113	1373	CPS1
1114	1374	CPT1A
1115	1375	CPT1B
1116	1376	CPT2
1117	1378	CR1
1118	1379	CR1L
1119	1380	CR2
1120	1381	CRABP1
1121	1382	CRABP2
1122	1384	CRAT
1123	1385	CREB1
1124	1386	ATF2
1125	1387	CREBBP
1126	1388	ATF6B
1127	1389	CREBL2
1128	1390	CREM
1129	1392	CRH
1130	1393	CRHBP
1131	1394	CRHR1
1132	1395	CRHR2
1133	1396	CRIP1
1134	1397	CRIP2
1135	1398	CRK
1136	1399	CRKL
1137	1400	CRMP1
1138	1401	CRP
1139	1404	HAPLN1
1140	1406	CRX
1141	1407	CRY1
1142	1408	CRY2
1143	1409	CRYAA
1144	1410	CRYAB
1145	1411	CRYBA1
1146	1412	CRYBA2
1147	1413	CRYBA4
1148	1414	CRYBB1
1149	1415	CRYBB2
1150	1416	CRYBB2P1
1151	1417	CRYBB3
1152	1418	CRYGA
1153	1419	CRYGB
1154	1420	CRYGC
1155	1421	CRYGD
1156	1423	CRYGFP
1157	1424	CRYGGP
1158	1427	CRYGS
1159	1428	CRYM
1160	1429	CRYZ
1161	1430	CRYZP1
1162	1431	CS
1163	1432	MAPK14
1164	1434	CSE1L
1165	1435	CSF1
1166	1436	CSF1R
1167	1437	CSF2
1168	1438	CSF2RA
1169	1439	CSF2RB
1170	1440	CSF3
1171	1441	CSF3R
1172	1442	CSH1
1173	1443	CSH2
1174	1444	CSHL1
1175	1445	CSK
1176	1446	CSN1S1
1177	1447	CSN2
1178	1448	CSN3
1179	1452	CSNK1A1
1180	1453	CSNK1D
1181	1454	CSNK1E
1182	1455	CSNK1G2
1183	1456	CSNK1G3
1184	1457	CSNK2A1
1185	1459	CSNK2A2
1186	1460	CSNK2B
1187	1462	VCAN
1188	1463	NCAN
1189	1464	CSPG4
1190	1465	CSRP1
1191	1466	CSRP2
1192	1467	CSRP2P1
1193	1468	SLC25A10
1194	1469	CST1
1195	1470	CST2
1196	1471	CST3
1197	1472	CST4
1198	1473	CST5
1199	1474	CST6
1200	1475	CSTA
1201	1476	CSTB
1202	1477	CSTF1
1203	1478	CSTF2
1204	1479	CSTF3
1205	1480	CSTP1
1206	1481	CSTP2
1207	1482	NKX2-5
1208	1483	CTAA1
1209	1484	CTAA2
1210	1485	CTAG1B
1211	1486	CTBS
1212	1487	CTBP1
1213	1488	CTBP2
1214	1489	CTF1
1215	1490	CCN2
1216	1491	CTH
1217	1493	CTLA4
1218	1495	CTNNA1
1219	1496	CTNNA2
1220	1497	CTNS
1221	1498	CTNNA1P1
1222	1499	CTNNB1
1223	1500	CTNND1
1224	1501	CTNND2
1225	1503	CTPS1
1226	1504	CTRB1
1227	1506	CTRL
1228	1508	CTSB
1229	1509	CTSD
1230	1510	CTSE
1231	1511	CTSG
1232	1512	CTSH
1233	1513	CTSK
1234	1514	CTSL
1235	1515	CTSV
1236	1517	CTSLP2
1237	1518	CTSLP8
1238	1519	CTSO
1239	1520	CTSS
1240	1521	CTSW
1241	1522	CTSZ
1242	1523	CUX1
1243	1524	CX3CR1
1244	1525	CXADR
1245	1526	CXB3S
1246	1527	TEX28
1247	1528	CYB5A
1248	1531	CYB5AP3
1249	1532	CYB5AP4
1250	1534	CYB561
1251	1535	CYBA
1252	1536	CYBB
1253	1537	CYC1
1254	1538	CYLC1
1255	1539	CYLC2
1256	1540	CYLD
1257	1541	CYMD
1258	1543	CYP1A1
1259	1544	CYP1A2
1260	1545	CYP1B1
1261	1548	CYP2A6
1262	1549	CYP2A7
1263	1550	CYP2A7P1
1264	1551	CYP3A7
1265	1553	CYP2A13
1266	1555	CYP2B6
1267	1556	CYP2B7P
1268	1557	CYP2C19
1269	1558	CYP2C8
1270	1559	CYP2C9
1271	1562	CYP2C18
1272	1564	CYP2D7
1273	1565	CYP2D6
1274	1566	CYP2D7BP
1275	1568	CYP2D8P
1276	1571	CYP2E1
1277	1572	CYP2F1
1278	1573	CYP2J2
1279	1576	CYP3A4
1280	1577	CYP3A5
1281	1578	CYP3A51P
1282	1579	CYP4A11
1283	1580	CYP4B1
1284	1581	CYP7A1
1285	1582	CYP8B1
1286	1583	CYP11A1
1287	1584	CYP11B1
1288	1585	CYP11B2
1289	1586	CYP17A1
1290	1587	ADAM3A
1291	1588	CYP19A1
1292	1589	CYP21A2
1293	1590	CYP21A1P
1294	1591	CYP24A1
1295	1592	CYP26A1
1296	1593	CYP27A1
1297	1594	CYP27B1
1298	1595	CYP51A1
1299	1596	ADAM3B
1300	1600	DAB1
1301	1601	DAB2
1302	1602	DACH1
1303	1603	DAD1
1304	1604	CD55
1305	1605	DAG1
1306	1606	DGKA
1307	1607	DGKB
1308	1608	DGKG
1309	1609	DGKQ
1310	1610	DAO
1311	1611	DAP
1312	1612	DAPK1
1313	1613	DAPK3
1314	1615	DARS1
1315	1616	DAXX
1316	1617	DAZ1
1317	1618	DAZL
1318	1620	BRINP1
1319	1621	DBH
1320	1622	DBI
1321	1623	DBIP2
1322	1624	DBIP1
1323	1627	DBN1
1324	1628	DBP
1325	1629	DBT
1326	1630	DCC
1327	1632	ECI1
1328	1633	DCK
1329	1634	DCN
1330	1635	DCTD
1331	1636	ACE
1332	1637	DCR
1333	1638	DCT
1334	1639	DCTN1
1335	1641	DCX
1336	1642	DDB1
1337	1643	DDB2
1338	1644	DDC
1339	1645	AKR1C1
1340	1646	AKR1C2
1341	1647	GADD45A
1342	1648	GADD45AP1
1343	1649	DDIT3
