大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
附子,生狼牙,巴豆,人参,干姜,吴茱萸,,,,,,,,,,,,,,,,,,,
厚朴,甘草,大黄,大枣,枳实,桂枝,生姜,,,,,,,,,,,,,,,,,,
附子,半夏,甘草,大枣,粳米,,,,,,,,,,,,,,,,,,,,
厚朴,大黄,枳实,,,,,,,,,,,,,,,,,,,,,,
柴胡,黄芩,芍药,半夏,枳实,大黄,大枣,生姜,,,,,,,,,,,,,,,,,
大黄,厚朴,枳实,芒硝,,,,,,,,,,,,,,,,,,,,,
蜀椒,干姜,人参,胶饴,,,,,,,,,,,,,,,,,,,,,
大黄,附子,细辛,,,,,,,,,,,,,,,,,,,,,,
茯苓,乌头,半夏,细辛（《千金》作人参）,,,,,,,,,,,,,,,,,,,,,
当归,生姜,羊肉,,,,,,,,,,,,,,,,,,,,,,
乌头,桂枝汤,,,,,,,,,,,,,,,,,,,,,,,
柴胡,黄芩,人参,芍药,桂枝,生姜,甘草,半夏,大枣,,,,,,,,,,,,,,,,
杏仁,巴豆,,,,,,,,,,,,,,,,,,,,,,,
瓜蒂,赤小豆,香豉,,,,,,,,,,,,,,,,,,,,,,
麻子仁,芍药,枳实,大黄,厚朴,杏仁,,,,,,,,,,,,,,,,,,,
甘草,白术,干姜,茯苓,,,,,,,,,,,,,,,,,,,,,
茯苓,桂枝,白术,甘草,,,,,,,,,,,,,,,,,,,,,
甘遂,半夏,芍药,甘草,,,,,,,,,,,,,,,,,,,,,
芫花,甘遂,大戟,大枣,,,,,,,,,,,,,,,,,,,,,
麻黄,芍药,五味子,干姜,甘草,细辛,桂枝,半夏,,,,,,,,,,,,,,,,,
木防己,石膏,桂枝,人参,,,,,,,,,,,,,,,,,,,,,
木防己,桂枝,人参,芒硝,茯苓,,,,,,,,,,,,,,,,,,,,
泽泻,白术,,,,,,,,,,,,,,,,,,,,,,,
厚朴,大黄,枳实,,,,,,,,,,,,,,,,,,,,,,
半夏,生姜,,,,,,,,,,,,,,,,,,,,,,,
防己,椒目,葶苈,大黄,,,,,,,,,,,,,,,,,,,,,
半夏,生姜,茯苓,,,,,,,,,,,,,,,,,,,,,,
泽泻,猪苓,茯苓,白术,桂枝,,,,,,,,,,,,,,,,,,,,
茯苓,人参,白术,枳实,橘皮,生姜,,,,,,,,,,,,,,,,,,,
茯苓,桂枝,甘草,五味子,,,,,,,,,,,,,,,,,,,,,
茯苓,甘草,干姜,细辛,五味,,,,,,,,,,,,,,,,,,,,
茯苓,甘草,细辛,干姜,五味子,半夏,,,,,,,,,,,,,,,,,,,
茯苓,甘草,五味,干姜,细辛,半夏,杏仁,,,,,,,,,,,,,,,,,,
茯苓,甘草,五味,干姜,细辛,半夏,杏仁,大黄,,,,,,,,,,,,,,,,,
栝楼根,茯苓,薯蓣,附子,瞿麦,,,,,,,,,,,,,,,,,,,,
蒲灰,滑石,,,,,,,,,,,,,,,,,,,,,,,
滑石,乱发,白鱼,,,,,,,,,,,,,,,,,,,,,,
茯苓,白术,戎盐,,,,,,,,,,,,,,,,,,,,,,
猪苓,茯苓,阿胶,滑石,泽泻,,,,,,,,,,,,,,,,,,,,
防己,黄芪,白术,甘草,,,,,,,,,,,,,,,,,,,,,
